gid;id;zona;nome_zona;X_for;Y_for;;
9;9.000.000.000.000.000;11009;Coloninha;-48.593.000;-27.589.000;;
39;39.000.000.000.000.000;11039;Centro (Colégio Catarinense);-48.555.000;-27.589.000;;
107;107.000.000.000.000.000;11107;Campeche Central;-48.502.000;-27.675.000;;
114;114.000.000.000.000.000;11114;Lagoa;-48.472.000;-27.601.000;;
145;145.000.000.000.000.000;11145;Campus CESUSC;-48.514.000;-27.500.000;;
152;152.000.000.000.000.000;11152;Capivari / Ingleses Centro;-48.403.000;-27.443.000;;
999;999.000.000.000.000.000;999;UFSC;-48.519.000;-27.601.000;;
;;;;;;;
;;;;;;;
;;;;;;;
;;11009;11039;11107;11114;11145;11152
;999;1;1;1;1;1;1
;;;999;;;;
;;11009;1;;;;
;;11039;1;;;;
;;11107;1;;;;
;;11114;1;;;;
;;11145;1;;;;
;;11152;1;;;;